Season,RainTomorrow,Measure,n,mean,median,sd,q1,q3
all,0,WindGustSpeed,1121,42.02658340767172,41.0,12.669751936010659,32.8,49.7
all,0,WindSpeed9am,1121,12.271364852809992,11.1,6.3535093516844805,7.6,16.4
all,0,WindSpeed3pm,1121,16.351828724353254,16.1,7.1897768909797914,11.2,21.0
all,0,WindSpeedChange,1121,4.080463871543265,3.900000000000002,6.967465346599123,-0.5999999999999996,8.700000000000001
all,1,WindGustSpeed,1435,43.944320557491295,42.5,13.235226789960572,34.2,51.8
all,1,WindSpeed9am,1435,13.512961672473866,12.2,7.094762978738006,8.1,18.0
all,1,WindSpeed3pm,1435,17.406480836236934,17.1,6.862136614631641,12.7,21.65
all,1,WindSpeedChange,1435,3.893519163763066,3.899999999999999,6.480210715114856,-0.5499999999999989,8.200000000000001
