Date,Location,Latitude,Longitude,Season,RainTomorrow,RainMm,WindGustSpeed,WindGustSpeedGroup,WindGustDir,WindGustDirDegrees,WindSpeed9am,WindDir9amDegrees,WindSpeed3pm,WindDir3pmDegrees,WindSpeedChange
2016-2-11,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,35.3,Q2,ENE,75,5.4,70,14.5,83,9.1
2016-2-12,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,1.0,36.0,Q2,ENE,65,1.0,45,14.2,74,13.2
2016-2-13,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,35.6,Q2,NNE,33,8.2,15,14.0,55,5.800000000000001
2016-2-14,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.9,43.2,Q3,SE,143,5.5,337,4.6,162,-0.9000000000000004
2016-2-15,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.4,31.3,Q1,SSE,149,6.1,183,9.8,114,3.700000000000001
2016-2-16,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.5,54.0,Q4,S,169,14.3,190,22.2,138,7.899999999999999
2016-2-17,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.7,30.6,Q1,SSE,156,12.2,180,5.4,132,-6.799999999999999
2016-2-18,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,37.4,Q2,E,83,5.4,176,9.8,84,4.4
2016-2-19,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,36.4,Q2,NNE,33,6.8,360,10.5,68,3.7
2016-2-20,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,1.1,47.9,Q3,S,172,18.7,181,18.5,151,-0.1999999999999993
2016-2-21,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,1.1,37.8,Q2,SE,131,12.3,159,14.5,96,2.1999999999999993
2016-2-22,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,36.7,Q2,NE,48,1.3,326,14.2,63,12.899999999999999
2016-2-23,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,35.6,Q2,NE,44,4.6,18,12.7,55,8.1
2016-2-24,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,40.7,Q2,NE,41,7.2,37,13.7,60,6.499999999999999
2016-2-25,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,29.9,Q1,NNE,23,4.2,340,5.3,28,1.0999999999999996
2016-2-26,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,50.0,Q3,SSE,157,24.7,172,18.1,131,-6.599999999999998
2016-2-27,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,1.9,42.8,Q3,ESE,115,14.2,114,15.6,109,1.4000000000000004
2016-2-28,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,37.8,Q2,E,101,1.6,117,14.0,89,12.4
2016-2-29,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.7,34.6,Q2,SE,131,6.1,183,13.1,122,7.0
2016-3-1,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.7,36.0,Q2,ENE,61,1.5,104,13.9,59,12.4
2016-3-2,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,39.6,Q2,NE,38,7.9,16,16.6,60,8.700000000000001
2016-3-3,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,43.2,Q3,NE,52,8.2,41,18.8,61,10.600000000000001
2016-3-4,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,41.8,Q2,NE,53,7.1,30,18.1,67,11.000000000000002
2016-3-5,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,37.8,Q2,NE,50,7.9,24,15.1,65,7.199999999999999
2016-3-6,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,45.7,Q3,NE,52,7.5,17,20.0,62,12.5
2016-3-7,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,39.6,Q2,ENE,66,3.9,56,14.8,76,10.9
2016-3-8,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,41.0,Q2,ENE,66,6.9,47,18.0,74,11.1
2016-3-9,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,35.3,Q2,NE,40,5.1,8,13.2,64,8.1
2016-3-10,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,34.2,Q2,SE,126,6.8,180,14.5,136,7.7
2016-3-11,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.4,40.3,Q2,ENE,61,6.4,63,7.9,66,1.5
2016-3-12,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,36.7,Q2,ENE,67,1.9,158,15.6,75,13.7
2016-3-13,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,36.0,Q2,ENE,60,9.0,37,15.6,71,6.6
2016-3-14,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,4.2,37.4,Q2,SSE,168,3.5,246,15.2,158,11.7
2016-3-15,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,2.7,45.0,Q3,S,173,13.2,169,19.6,174,6.400000000000002
2016-3-16,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,3.8,41.0,Q2,SSE,162,14.8,167,15.0,156,0.1999999999999993
2016-3-17,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,1.1,31.3,Q1,ENE,77,4.0,117,11.9,65,7.9
2016-3-18,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,3.9,64.8,Q4,NW,320,13.0,354,21.4,319,8.399999999999999
2016-3-19,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,40.0,Q2,SSW,201,13.0,222,11.9,145,-1.0999999999999996
2016-3-20,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,3.5,42.5,Q3,S,183,15.4,191,18.4,169,2.9999999999999982
2016-3-21,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,4.8,42.8,Q3,S,188,13.7,215,16.2,167,2.5
2016-3-22,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.3,44.3,Q3,SSW,200,17.7,209,20.7,187,3.0
2016-3-23,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,29.5,Q1,SW,215,5.2,245,9.4,90,4.2
2016-3-24,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,36.4,Q2,NE,42,3.8,287,13.0,76,9.2
2016-3-25,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,23.4,Q1,WNW,302,4.2,290,9.3,306,5.1000000000000005
2016-3-26,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,35.3,Q2,ESE,112,4.2,250,12.1,80,7.8999999999999995
2016-3-27,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,2.2,32.4,Q1,ESE,121,8.9,159,14.1,94,5.199999999999999
2016-3-28,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,1.5,27.4,Q1,SSE,156,11.9,151,9.2,135,-2.700000000000001
